iter	Logloss
585	0.3056358899
590	0.3055651312
595	0.3055227757
600	0.3054622821
605	0.3053983751
610	0.3053009325
615	0.3052455215
620	0.3051961399
625	0.305143644
630	0.3050925433
635	0.3050485932
640	0.3049928833
645	0.3049514994
650	0.304915871
655	0.3048742131
660	0.304807117
665	0.3047633911
670	0.304728834
675	0.3046714298
680	0.3046288252
685	0.3045811877
690	0.3045265989
695	0.3044777654
700	0.3044133851
705	0.3043667442
710	0.3043273535
715	0.3042698497
720	0.3042205429
725	0.3041448511
730	0.3040901377
735	0.3040524911
740	0.303995959
745	0.3039586861
750	0.3038969218
755	0.3038413364
760	0.3038029922
765	0.3037610603
770	0.3037176085
775	0.3036733844
780	0.3036333958
785	0.3035968205
790	0.3035668478
795	0.3035207301
800	0.3034829091
805	0.3034454369
810	0.3034107801
815	0.3033503612
820	0.3033082798
825	0.3032612652
830	0.3032311429
835	0.3031884137
840	0.3031450367
845	0.3031090345
850	0.3030636393
855	0.3030135103
860	0.3029782307
865	0.3029467879
870	0.3028945661
875	0.3028584393
880	0.3028278686
885	0.3027751235
890	0.3027322448
895	0.3026990081
900	0.3026599663
905	0.3026229426
910	0.3025878125
915	0.3025487208
920	0.3024782861
925	0.3024316203
930	0.3023911832
935	0.3023662682
940	0.3023267779
945	0.3022876364
950	0.3022430136
955	0.302209204
960	0.3021704362
965	0.3021387194
970	0.3021106153
975	0.3020596641
980	0.3020139949
985	0.301972312
990	0.3019378546
995	0.3018910144
1000	0.3018463916
1005	0.3018036873
1010	0.3017658663
1015	0.3017282446
1020	0.3017042016
1025	0.3016621451
1030	0.3016174226
1035	0.3015786549
1040	0.3015262088
1045	0.3014877151
1050	0.3014494955
1055	0.3013977968
1060	0.3013610472
1065	0.3013164992
1070	0.3012879216
1075	0.301255283
1080	0.3012261822
1085	0.301194291
1090	0.3011542277
1095	0.301120717
1100	0.3010840172
1105	0.301032767
1110	0.3009992813
1115	0.3009617343
1120	0.3009348012
1125	0.3009120289
1130	0.3008739338
1135	0.3008393767
1140	0.3008067879
1145	0.3007709352
1150	0.3007445253
1155	0.3007074268
1160	0.3006753114
1165	0.3006242356
1170	0.3005978008
1175	0.3005591576
1180	0.3005248745
1185	0.3004958735
1190	0.3004680683
1195	0.3004341839
1200	0.3003999009
1205	0.3003614321
1210	0.300325106
1215	0.300295781
1220	0.3002595297
1225	0.3002195162
1230	0.3001910882
1235	0.3001408595
1240	0.3000955889
1245	0.3000682073
1250	0.3000335755
1255	0.3000031293
1260	0.2999637885
1265	0.2999359086
1270	0.2998951477
1275	0.2998623346
1280	0.2998323618
1285	0.2997973563
1290	0.2997538796
1295	0.2997292635
1300	0.299700113
1305	0.2996696917
1310	0.2996332162
1315	0.2996058844
1320	0.2995658211
1325	0.2995199027
1330	0.2994896061
1335	0.2994512619
1340	0.2994193956
1345	0.2993957014
1350	0.2993642586
1355	0.2993250424
1360	0.2992929519
1365	0.2992497493
1370	0.2992181072
1375	0.2991876611
1380	0.2991585105
1385	0.2991268186
1390	0.2990931584
1395	0.2990713827
1400	0.2990339604
1405	0.2990006739
1410	0.2989647714
1415	0.298930588
1420	0.2989019606
1425	0.2988687489
1430	0.2988413175
1435	0.2988175984
1440	0.2987899677
1445	0.2987605929
1450	0.2987301218
1455	0.29869402
1460	0.2986589147
1465	0.2986342239
1470	0.298601959
1475	0.2985685231
1480	0.2985426862
1485	0.2985170985
1490	0.2984845096
1495	0.2984518211
1500	0.298430469
1505	0.298397631
1510	0.298370075
1515	0.2983510399
1520	0.2983267976
1525	0.2982936357
1530	0.2982627162
1535	0.2982296291
1540	0.2981984106
1545	0.2981642023
1550	0.2981442703
1555	0.2981066735
1560	0.2980811107
1565	0.2980435887
1570	0.2980107756
1575	0.2979924133
1580	0.2979683952
1585	0.2979445017
1590	0.2979116886
1595	0.2978826128
1600	0.2978530138
1605	0.2978326582
1610	0.2978088644
1615	0.2977687014
1620	0.2977410707
1625	0.2977218861
1630	0.2976872542
1635	0.2976533698
1640	0.297626362
1645	0.29759908
1650	0.297566242
1655	0.2975420496
1660	0.2975077914
1665	0.2974669557
1670	0.2974400724
1675	0.2974067361
1680	0.2973699118
1685	0.2973392663
1690	0.2973094929
1695	0.2972750852
1700	0.2972467569
1705	0.2972155882
1710	0.2971911964
1715	0.2971626189
1720	0.2971342656
1725	0.2970994095
1730	0.2970746191
1735	0.2970435251
1740	0.2970211514
1745	0.2970006215
1750	0.296967061
1755	0.2969394302
1760	0.2969102547
1765	0.296880581
1770	0.2968545448
1775	0.2968226785
1780	0.2967824906
1785	0.2967478089
1790	0.2967209754
1795	0.2966950887
1800	0.2966533062
1805	0.2966200447
1810	0.2965968239
1815	0.2965686201
1820	0.2965435307
1825	0.2965100948
1830	0.2964873474
1835	0.2964538865
1840	0.2964235151
1845	0.2963991482
1850	0.296375753
1855	0.2963546251
1860	0.2963277667
1865	0.2962968472
1870	0.2962707363
1875	0.296240614
1880	0.2962147772
1885	0.2961869969
1890	0.2961652461
1895	0.2961365689
1900	0.2961068453
1905	0.2960745555
1910	0.2960446325
1915	0.296020764
1920	0.295989097
1925	0.2959514504
1930	0.2959321911
1935	0.2958955162
1940	0.2958688073
1945	0.2958432445
1950	0.295814667
1955	0.2957909479
1960	0.2957570884
1965	0.2957259945
1970	0.2956935302
1975	0.2956720286
1980	0.295630869
1985	0.2955947173
1990	0.2955603595
1995	0.2955227628
2000	0.2954915941
2005	0.2954657074
2010	0.295435635
2015	0.2954169736
2020	0.2953958208
2025	0.2953729488
2030	0.2953494789
2035	0.2953283011
2040	0.2953005956
2045	0.2952710962
2050	0.2952421201
2055	0.2952167566
2060	0.2951953297
2065	0.295160349
2070	0.2951341135
2075	0.2951047885
2080	0.2950801974
2085	0.2950433232
2090	0.2950205011
2095	0.29499444
2100	0.2949661863
2105	0.2949428659
2110	0.2949179758
2115	0.2948895727
2120	0.2948558129
2125	0.2948262387
2130	0.2947947212
2135	0.2947635027
2140	0.2947349501
2145	0.2947078675
2150	0.294683401
2155	0.2946545992
2160	0.2946208394
2165	0.2945992879
2170	0.2945750207
2175	0.2945484364
2180	0.2945252654
2185	0.2945065542
2190	0.2944740402
2195	0.294445936
2200	0.2944231637
2205	0.2943996938
2210	0.2943714651
2215	0.2943468241
2220	0.294319891
2225	0.2942925343
2230	0.2942642059
2235	0.2942365503
2240	0.2942165684
2245	0.2941887135
2250	0.2941658913
2255	0.294134025
2260	0.2941122244
2265	0.2940776423
2270	0.2940464737
2275	0.2940179709
2280	0.2939887705
2285	0.2939599438
2290	0.2939307684
2295	0.2939067503
2300	0.2938755318
2305	0.2938530834
2310	0.2938285172
2315	0.2937923904
2320	0.2937660552
2325	0.293739745
2330	0.2937054121
2335	0.293682565
2340	0.2936602412
2345	0.2936314643
2350	0.2936138993
2355	0.2935944406
2360	0.2935590115
2365	0.2935378836
2370	0.293513417
2375	0.2934855122
2380	0.2934585043
2385	0.293425467
2390	0.2934017978
2395	0.2933699315
2400	0.2933458636
2405	0.2933093133
2410	0.2932853699
2415	0.2932643417
2420	0.2932329488
2425	0.2932077099
2430	0.2931770146
2435	0.2931508787
2440	0.2931341857
2445	0.2931105164
2450	0.293092154
2455	0.2930644486
2460	0.2930431711
2465	0.2930140206
2470	0.2929896039
2475	0.2929636923
2480	0.2929348656
2485	0.2929077331
2490	0.2928776109
2495	0.2928530198
2500	0.2928316925
2505	0.2928093438
2510	0.2927786485
2515	0.2927512918
2520	0.2927282952
2525	0.2927021345
2530	0.2926732331
2535	0.2926354121
2540	0.2926162275
2545	0.2925919105
2550	0.2925693375
2555	0.2925447962
2560	0.2925083704
2565	0.2924762052
2570	0.2924503185
2575	0.2924131702
2580	0.2923854398
2585	0.2923495871
2590	0.292308851
2595	0.2922907378
2600	0.2922583982
2605	0.2922272544
2610	0.2922076712
2615	0.2921813111
2620	0.2921560722
2625	0.2921319046
2630	0.292099839
2635	0.2920747994
2640	0.2920487134
2645	0.2920210329
2650	0.2919906365
2655	0.291974367
2660	0.2919428246
2665	0.2919162154
2670	0.2918927206
2675	0.2918703718
2680	0.2918393277
2685	0.291814911
2690	0.2917916653
2695	0.2917603471
2700	0.2917288794
2705	0.2917064809
2710	0.2916823382
2715	0.2916596406
2720	0.2916362205
2725	0.2916203995
2730	0.2915822048
2735	0.2915519081
2740	0.2915228821
2745	0.2914869049
2750	0.2914607192
2755	0.2914391428
2760	0.2914089458
2765	0.2913866469
2770	0.2913587171
2775	0.2913311861
2780	0.2913059472
2785	0.291280783
2790	0.2912583844
2795	0.2912286857
2800	0.2911972928
2805	0.2911718795
2810	0.2911497799
2815	0.291122772
2820	0.2910858729
2825	0.2910627767
2830	0.2910372139
2835	0.2910132954
2840	0.2909922921
2845	0.2909591302
2850	0.2909384009
2855	0.2909150306
2860	0.2908928812
2865	0.2908671938
2870	0.2908385167
2875	0.2908107115
2880	0.2907868928
2885	0.2907626754
2890	0.2907469291
2895	0.2907204444
2900	0.2906965758
2905	0.2906643358
2910	0.2906425352
2915	0.2906259667
2920	0.2906041412
2925	0.2905696339
2930	0.2905501005
2935	0.2905211742
2940	0.2904897065
2945	0.290460531
2950	0.2904345945
2955	0.2904111246
2960	0.290384316
2965	0.2903594758
2970	0.2903405154
2975	0.2903088983
2980	0.2902865994
2985	0.2902603389
2990	0.2902410298
2995	0.2902159404
3000	0.2901879608
3005	0.2901660107
3010	0.2901464275
3015	0.2901259225
3020	0.2900994627
3025	0.290058054
3030	0.2900387697
3035	0.2900130575
3040	0.2899846045
3045	0.2899651708
3050	0.2899389851
3055	0.2899022355
3060	0.2898792888
3065	0.28985694
3070	0.2898313523
3075	0.2898008065
3080	0.2897733751
3085	0.2897476877
3090	0.2897316923
3095	0.2897000502
3100	0.2896614568
3105	0.2896341002
3110	0.2896156381
3115	0.2895889542
3120	0.2895658081
3125	0.2895395477
3130	0.289512789
3135	0.2894890948
3140	0.2894665965
3145	0.2894450451
3150	0.2894248141
3155	0.2894075978
3160	0.2893836296
3165	0.2893614552
3170	0.2893271472
3175	0.2893045244
3180	0.2892780647
3185	0.2892505834
3190	0.2892229527
3195	0.289193553
3200	0.2891673174
3205	0.2891427512
3210	0.2891169393
3215	0.2890853221
3220	0.2890608805
3225	0.2890370119
3230	0.2890131683
3235	0.2889862102
3240	0.2889620925
3245	0.2889363802
3250	0.288917694
3255	0.2888958186
3260	0.2888723237
3265	0.2888524166
3270	0.288831787
3275	0.2888127021
3280	0.2887720906
3285	0.2887500159
3290	0.2887232821
3295	0.2886939572
3300	0.2886700886
3305	0.2886548157
3310	0.2886340366
3315	0.2886082495
3320	0.2885888158
3325	0.2885652462
3330	0.2885422497
3335	0.2885108069
3340	0.2884843223
3345	0.2884564673
3350	0.2884352397
3355	0.2884132148
3360	0.288395276
3365	0.2883714324
3370	0.2883546646
3375	0.2883272331
3380	0.2883094687
3385	0.2882892128
3390	0.2882702276
3395	0.2882505447
3400	0.288227897
3405	0.2882019605
3410	0.2881782912
3415	0.2881553694
3420	0.2881339923
3425	0.2881109958
3430	0.2880806493
3435	0.2880560582
3440	0.2880382938
3445	0.2880151726
3450	0.2879888873
3455	0.2879596869
3460	0.2879372883
3465	0.2879180539
3470	0.2878979226
3475	0.2878736056
3480	0.287851182
3485	0.2878253452
3490	0.2877968922
3495	0.2877652751
3499	0.2877513227
