iter	Logloss
0	0.6732848906
5	0.590848099
10	0.5294158566
15	0.4841023301
20	0.4508884294
25	0.4263814775
30	0.4060333889
35	0.3905786083
40	0.3793074066
45	0.3704831828
50	0.3630550965
55	0.356694992
60	0.3516317139
65	0.3473122734
70	0.3431667396
75	0.3398372472
80	0.3368019014
85	0.3342644073
90	0.3323784656
95	0.3304799169
100	0.3287259999
105	0.3273371376
110	0.3260754165
115	0.3249784834
120	0.323932327
125	0.3230030719
130	0.3221543919
135	0.3213634899
140	0.3205961574
145	0.3200215176
150	0.3194507895
155	0.3189275992
160	0.3184292491
165	0.3176880027
170	0.3172852017
175	0.3168390486
180	0.3165019486
185	0.3161616593
190	0.3158839317
195	0.3156345823
200	0.3152840032
205	0.3149242305
210	0.3145733026
215	0.3142997108
220	0.314036982
225	0.3137401197
230	0.3134475178
235	0.3131834686
240	0.3129033242
245	0.3126904005
250	0.3125056059
255	0.3122356517
260	0.3120564132
265	0.3118404748
270	0.3116673902
275	0.3115336215
280	0.3113743149
285	0.3112193436
290	0.3110897357
295	0.3109102978
300	0.3107367897
305	0.310627064
310	0.3105264821
315	0.3103301518
320	0.3102051781
325	0.3100950787
330	0.3099785263
335	0.3098465016
340	0.3097228235
345	0.3095956324
350	0.3095276642
355	0.3093513158
360	0.3092821766
365	0.3091776083
370	0.3090452847
375	0.3089466462
380	0.3088380915
385	0.3087331246
390	0.3085945971
395	0.3084839745
400	0.3083692658
405	0.3082755106
410	0.3081842967
415	0.308086879
420	0.3079830582
425	0.3079136948
430	0.3078425126
435	0.307761788
440	0.3076917021
445	0.3076320057
450	0.3075664294
455	0.3074755145
460	0.3074283753
465	0.3073450097
470	0.3072603734
475	0.3071922059
480	0.307097803
485	0.3070376083
490	0.3069631623
495	0.3068787751
500	0.3067854186
505	0.3067016792
510	0.3066276567
515	0.3065425221
520	0.3064886061
525	0.3064051159
530	0.3063531182
535	0.3063119337
540	0.3062481264
545	0.3061664052
550	0.3061119908
555	0.3060450691
560	0.3059420455
565	0.3058884782
570	0.3058127864
575	0.3057565782
580	0.3057062498
